Time,u[0],d[0],x[0],x[1],x[2],y[0]
0.113,-0.000430161,1.39752,0.000704805,0.00102203,0.00228735,0.000430161
0.114,-0.00145299,-0.764539,0.000705444,0.000255402,0.00152281,0.00145299
0.115,-0.000892411,0.223684,0.000705811,0.000477827,0.00174649,0.000892411
0.116,-0.0010556,-0.727035,0.000705924,-0.000250377,0.00101946,0.0010556
0.117,-0.000522636,-3.03609,0.000704156,-0.00328522,-0.00201663,0.000522636
0.118,0.00170079,3.27757,0.000702512,-4.30956e-06,0.00126093,-0.00170079
0.119,-0.000699357,-0.689569,0.000702162,-0.000694228,0.000571365,0.000699357
0.12,-0.000193952,2.74579,0.000702841,0.00205069,0.00331715,0.000193952
0.121,-0.00220405,1.20098,0.00070549,0.00324681,0.00451813,0.00220405
0.122,-0.00308232,-0.592172,0.000708437,0.00264861,0.00392596,0.00308232
0.123,-0.00264736,2.9946,0.00071258,0.00563642,0.00692056,0.00264736
0.124,-0.00483873,1.56285,0.000718993,0.00718802,0.00848341,0.00483873
0.125,-0.00598099,1.65842,0.000727003,0.00883245,0.0101418,0.00598099
0.126,-0.00719281,-0.0244737,0.000735815,0.00879198,0.0101174,0.00719281
0.127,-0.00717199,-1.34303,0.000743928,0.00743366,0.00877433,0.00717199
0.128,-0.00618575,0.24787,0.000751479,0.00766779,0.0090222,0.00618575
0.129,-0.00636469,0.566442,0.000759423,0.00821993,0.00958864,0.00636469
0.13,-0.00677683,-1.64017,0.000766815,0.00656559,0.00794847,0.00677683
0.131,-0.00557316,-2.45804,0.000772146,0.00409665,0.00549043,0.00557316
0.132,-0.0037711,-0.894055,0.000775792,0.00319517,0.00459638,0.0037711
0.133,-0.00311482,-0.400948,0.000778783,0.00278812,0.00419543,0.00311482
0.134,-0.00281983,0.746001,0.000781942,0.00352814,0.00494143,0.00281983
0.135,-0.00336472,-0.7443,0.000785094,0.00277732,0.00419713,0.00336472
0.136,-0.00281824,-0.537619,0.0007876,0.00223438,0.00365951,0.00281824
0.137,-0.00242328,-0.310889,0.000789677,0.00191899,0.00334863,0.00242328
0.138,-0.00219448,0.88423,0.000792036,0.00279867,0.00423286,0.00219448
0.139,-0.0028408,1.18885,0.000795426,0.00398129,0.00542171,0.0028408
0.14,-0.00370993,0.699774,0.000799753,0.00467303,0.00612148,0.00370993
0.141,-0.00422065,-0.474906,0.000804184,0.00418947,0.00564658,0.00422065
0.142,-0.00387109,-1.62367,0.000807558,0.00255855,0.0040229,0.00387109
0.143,-0.00268055,3.23482,0.000811731,0.00578651,0.00725772,0.00268055
0.144,-0.00504775,-0.0185552,0.000817503,0.00575714,0.00723916,0.00504775
0.145,-0.00503202,-1.43818,0.000822536,0.00430889,0.00580098,0.00503202
0.146,-0.00397686,-0.231551,0.000826725,0.00406917,0.00556943,0.00397686
0.147,-0.00380557,0.209667,0.000830895,0.00427086,0.00577909,0.00380557
0.148,-0.00395738,-1.532,0.000834396,0.00273141,0.00424709,0.00395738
0.149,-0.00283392,-0.996318,0.000836626,0.00173002,0.00325078,0.00283392
